Date,Rot,VH,Team,1st,2nd,3rd,4th,Final,Open,Close,Line_Move,Total_Move,ML,2H
905,451,V,GreenBay,0,7,0,3,10,46,46.5,0.5,0.5,140,23
905,452,H,Chicago,3,0,0,0,3,3.5,3,0.5,0.5,-160,3
915,279,V,Minnesota,0,10,6,0,16,46,43.5,0,2.5,140,2.5
915,280,H,GreenBay,14,7,0,0,21,3,3,0,2.5,-160,23
922,461,V,Denver,0,10,6,0,16,43.5,41,0,2.5,290,20.5
922,462,H,GreenBay,7,10,7,3,27,7,7,0,2.5,-380,2.5
926,101,V,Philadelphia,0,21,6,7,34,48,46.5,0.5,1.5,170,24.5
926,102,H,GreenBay,7,13,7,0,27,3,3.5,0.5,1.5,-200,3.5
1006,473,V,GreenBay,14,3,14,3,34,48,46.5,1,1.5,155,24
1006,474,H,Dallas,0,0,10,14,24,4,3,1,1.5,-185,7
1014,275,V,Detroit,10,3,6,3,22,46.5,46.5,3,0,170,24
1014,276,H,GreenBay,0,10,3,10,23,6.5,3.5,3,0,-200,4.5
1020,459,V,Oakland,3,7,7,7,24,46,47.5,1.5,1.5,220,24
1020,460,H,GreenBay,7,14,14,7,42,7.5,6,1.5,1.5,-270,0.5
1027,275,V,GreenBay,14,0,3,14,31,3.5,5,1.5,0,-240,3.5
1027,276,H,KansasCity,0,17,0,7,24,48,48,1.5,0,190,24.5
1103,471,V,GreenBay,0,0,3,8,11,3.5,4.5,1,4.5,-220,6
1103,472,H,LAChargers,6,3,10,7,26,46,50.5,1,4.5,180,24
1110,263,V,Carolina,7,3,0,6,16,48,49,1,1,185,24
1110,264,H,GreenBay,7,7,10,0,24,6,5,1,1,-230,2.5
1124,271,V,GreenBay,0,0,8,0,8,44,48,1,4,145,3
1124,272,H,SanFrancisco,10,13,7,7,37,4,3,1,4,-170,23.5
1201,451,V,GreenBay,14,3,0,14,31,7.5,6.5,1,3.5,-330,3
1201,452,H,NYGiants,7,3,3,0,13,47,43.5,1,3.5,260,21
1208,133,V,Washington,0,6,3,6,15,42,42.5,1.5,0.5,600,20.5
1208,134,H,GreenBay,14,0,3,3,20,14.5,13,1.5,0.5,-900,7
1215,309,V,Chicago,0,3,0,10,13,41,40.5,2,0.5,180,19.5
1215,310,H,GreenBay,7,0,14,0,21,6.5,4.5,2,0.5,-220,2
1223,481,V,GreenBay,3,6,8,6,23,46.5,47,0,0.5,180,23
1223,482,H,Minnesota,3,7,0,0,10,4.5,4.5,0,0.5,-220,1.5
1229,123,V,GreenBay,0,3,7,13,23,10,13.5,3.5,2.5,-900,10
1229,124,H,Detroit,7,10,0,3,20,41.5,44,3.5,2.5,600,23
112,307,V,Seattle,3,0,14,6,23,47,45.5,1.5,1.5,190,3
112,308,H,GreenBay,7,14,7,0,28,3.5,5,1.5,1.5,-220,22.5
119,311,V,GreenBay,0,0,7,13,20,44.5,47,0.5,2.5,300,21.5
119,312,H,SanFrancisco,7,20,7,3,37,7,7.5,0.5,2.5,-360,pk
